NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA_EDUCACENSO,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2010,43,RS,4322400,Uruguaiana,43162479,INST EST DE EDUC ELISA FERRARI VALLS,2,1,313,,230,73.50,491.52,548.37,527.9,512.7,618.16,,,,,,59.10,33.30,7.60,Maior que 90 alunos
2010,43,RS,4322400,Uruguaiana,43162487,ESC EST ENS MED DR JOAO FAGUNDES,2,1,109,,40,39.70,444.52,509.68,488.86,464.41,542.76,,,,,,67.10,32.40,0.50,Maior que 90 alunos
2010,43,RS,4322400,Uruguaiana,43162533,INST EST LEDA MARIA PEREIRA DA SILVA,2,2,17,,10,58.80,478.79,524.38,495.67,478.58,,,,,,,60.00,22.90,17.10,De 1 a 30 alunos
2010,43,RS,4301875,Barra do Quaraí,43162568,ESC EST ENS MED NILZA CORREA PEREIRA,2,1,38,,17,44.70,451.14,502.46,481.81,476.15,550.00,,,,,,53.30,21.70,25.00,De 31 a 60 alunos
2010,43,RS,4322400,Uruguaiana,43162681,INSTITUTO ESTADUAL ROMAGUERA CORREA,2,1,113,,80,70.80,465.56,515.63,505.31,489.29,571.75,,,,,,70.10,24.70,5.20,Maior que 90 alunos
2010,43,RS,4322400,Uruguaiana,43162690,INSTITUTO LAURA VICUNA,4,1,29,,26,89.70,547.08,604.05,585.5,585.58,662.50,,,,,,96.70,3.30,0.00,De 1 a 30 alunos
2010,43,RS,4322400,Uruguaiana,43162703,COLEGIO METODISTA UNIAO,4,1,21,,18,85.70,473.36,511.48,496.97,458.77,544.12,,,,,,90.50,9.50,0.00,De 1 a 30 alunos
2010,43,RS,4322400,Uruguaiana,43162886,ESC EST DE ENS MEDIO URUGUAIANA,2,1,285,,184,64.60,461.25,510.6,492.24,475.55,586.03,,,,,,61.70,21.90,16.40,Maior que 90 alunos
2010,43,RS,4322400,Uruguaiana,43162932,COLEGIO ESTADUAL DR ROBERVAL BEHEREGARAY AZEVEDO,2,1,0,,76,33.70,442.13,503.98,484.41,447.09,564.86,,,,,,53.80,30.10,16.10,De 1 a 30 alunos
2010,43,RS,4322509,Vacaria,43163017,COLEGIO BOM JESUS SAO JOSE,4,1,50,,31,62.00,557.64,625.76,590.74,620.65,644.35,,,,,,94.00,6.00,0.00,De 31 a 60 alunos
